date,session_key,driver_number,meeting_key,gap_to_leader,interval
2025-12-07T13:26:16.557000+00:00,9839,55,1276,23.193,1.463
2025-12-07T13:26:16.834000+00:00,9839,12,1276,24.462,0.691
2025-12-07T13:26:16.981000+00:00,9839,27,1276,34.154,1.412
2025-12-07T13:26:17.014000+00:00,9839,23,1276,37.123,2.876
2025-12-07T13:26:17.175000+00:00,9839,18,1276,23.777,0.584
2025-12-07T13:26:17.289000+00:00,9839,31,1276,18.805,7.129
2025-12-07T13:26:17.432000+00:00,9839,30,1276,21.754,1.725
2025-12-07T13:26:17.544000+00:00,9839,43,1276,31.222,7.015
2025-12-07T13:26:17.835000+00:00,9839,12,1276,24.48,0.703
2025-12-07T13:26:17.992000+00:00,9839,63,1276,31.661,0.439
2025-12-07T13:26:18.094000+00:00,9839,10,1276,51.061,7.58
2025-12-07T13:26:18.314000+00:00,9839,16,1276,7.201,2.232
2025-12-07T13:26:18.350000+00:00,9839,14,1276,11.671,4.455
2025-12-07T13:26:18.531000+00:00,9839,22,1276,20.072,1.267
2025-12-07T13:26:18.754000+00:00,9839,4,1276,4.991,3.372
2025-12-07T13:26:18.864000+00:00,9839,55,1276,23.188,1.434
2025-12-07T13:26:19.044000+00:00,9839,44,1276,32.738,1.077
2025-12-07T13:26:19.445000+00:00,9839,18,1276,23.78,0.592
2025-12-07T13:26:19.768000+00:00,9839,6,1276,39.849,2.726
2025-12-07T13:26:19.878000+00:00,9839,23,1276,37.065,2.911
2025-12-07T13:26:19.889000+00:00,9839,81,1276,1.738,1.738
2025-12-07T13:26:20.195000+00:00,9839,12,1276,24.487,0.707
2025-12-07T13:26:20.295000+00:00,9839,30,1276,21.838,1.766
2025-12-07T13:26:20.513000+00:00,9839,27,1276,34.194,1.456
2025-12-07T13:26:20.948000+00:00,9839,16,1276,7.176,2.185
2025-12-07T13:26:21.031000+00:00,9839,43,1276,31.5,7.163
2025-12-07T13:26:21.049000+00:00,9839,31,1276,18.867,7.15
2025-12-07T13:26:21.294000+00:00,9839,63,1276,31.764,0.264
2025-12-07T13:26:21.671000+00:00,9839,55,1276,23.191,1.353
2025-12-07T13:26:21.718000+00:00,9839,10,1276,51.088,7.639
