meeting_key,session_key,overtaking_driver_number,overtaken_driver_number,date,position
1141,7953,4,31,2023-03-05T15:03:47.781000+00:00,9
1141,7953,18,63,2023-03-05T15:03:50.015000+00:00,7
1141,7953,77,27,2023-03-05T15:03:50.750000+00:00,11
1141,7953,23,27,2023-03-05T15:03:50.797000+00:00,12
1141,7953,10,21,2023-03-05T15:03:51.843000+00:00,19
1141,7953,63,4,2023-03-05T15:03:55.312000+00:00,8
1141,7953,77,31,2023-03-05T15:03:55.765000+00:00,10
1141,7953,27,23,2023-03-05T15:03:56.187000+00:00,12
1141,7953,22,24,2023-03-05T15:03:56.609000+00:00,14
1141,7953,2,24,2023-03-05T15:03:56.671000+00:00,15
1141,7953,81,20,2023-03-05T15:03:56.922000+00:00,17
1141,7953,77,4,2023-03-05T15:04:00.125000+00:00,9
1141,7953,81,24,2023-03-05T15:04:01.500000+00:00,16
1141,7953,63,18,2023-03-05T15:04:05.171000+00:00,7
1141,7953,20,24,2023-03-05T15:04:07.187000+00:00,17
1141,7953,44,14,2023-03-05T15:04:09.453000+00:00,5
1141,7953,23,27,2023-03-05T15:04:11.328000+00:00,12
1141,7953,2,22,2023-03-05T15:04:11.906000+00:00,14
1141,7953,20,81,2023-03-05T15:04:12.468000+00:00,16
1141,7953,10,24,2023-03-05T15:04:12.859000+00:00,18
1141,7953,63,14,2023-03-05T15:04:13.406000+00:00,6
1141,7953,77,18,2023-03-05T15:04:14.109000+00:00,8
1141,7953,81,20,2023-03-05T15:04:20.484000+00:00,16
1141,7953,24,10,2023-03-05T15:04:20.890000+00:00,18
1141,7953,24,20,2023-03-05T15:04:25.046000+00:00,17
1141,7953,2,27,2023-03-05T15:04:30.749000+00:00,13
1141,7953,10,20,2023-03-05T15:05:56.466000+00:00,18
1141,7953,21,20,2023-03-05T15:08:14.839000+00:00,19
1141,7953,31,4,2023-03-05T15:08:57.963000+00:00,10
1141,7953,22,27,2023-03-05T15:09:00.744000+00:00,14
1141,7953,23,4,2023-03-05T15:09:08.463000+00:00,11
1141,7953,18,77,2023-03-05T15:10:35.664000+00:00,8
1141,7953,4,2,2023-03-05T15:10:54.867000+00:00,12
1141,7953,21,10,2023-03-05T15:18:56.983000+00:00,18
1141,7953,20,10,2023-03-05T15:19:03.718000+00:00,19
1141,7953,2,4,2023-03-05T15:20:32.560000+00:00,12
1141,7953,81,27,2023-03-05T15:20:41.356000+00:00,15
1141,7953,81,22,2023-03-05T15:20:41.356000+00:00,14
1141,7953,81,4,2023-03-05T15:20:41.356000+00:00,13
1141,7953,27,22,2023-03-05T15:20:41.419000+00:00,15
1141,7953,27,4,2023-03-05T15:20:41.419000+00:00,14
1141,7953,24,22,2023-03-05T15:20:41.981000+00:00,16
1141,7953,24,4,2023-03-05T15:20:41.981000+00:00,15
1141,7953,21,22,2023-03-05T15:20:43.497000+00:00,17
1141,7953,21,4,2023-03-05T15:20:43.497000+00:00,16
1141,7953,20,22,2023-03-05T15:20:45.434000+00:00,18
1141,7953,20,4,2023-03-05T15:20:45.434000+00:00,17
1141,7953,22,4,2023-03-05T15:20:59.590000+00:00,18
1141,7953,10,4,2023-03-05T15:21:06.590000+00:00,19
1141,7953,24,27,2023-03-05T15:21:43.293000+00:00,14
1141,7953,31,77,2023-03-05T15:22:13.949000+00:00,9
1141,7953,2,23,2023-03-05T15:22:14.152000+00:00,11
1141,7953,2,77,2023-03-05T15:22:18.917000+00:00,10
1141,7953,4,27,2023-03-05T15:22:22.667000+00:00,19
1141,7953,27,4,2023-03-05T15:22:22.667000+00:00,19
1141,7953,27,10,2023-03-05T15:22:22.667000+00:00,18
1141,7953,27,22,2023-03-05T15:22:22.667000+00:00,17
1141,7953,27,21,2023-03-05T15:22:22.667000+00:00,16
1141,7953,81,23,2023-03-05T15:22:23.042000+00:00,12
1141,7953,81,77,2023-03-05T15:22:23.042000+00:00,11
1141,7953,24,23,2023-03-05T15:22:24.370000+00:00,13
1141,7953,24,77,2023-03-05T15:22:24.370000+00:00,12
1141,7953,20,23,2023-03-05T15:22:27.511000+00:00,14
1141,7953,20,77,2023-03-05T15:22:27.511000+00:00,13
1141,7953,22,21,2023-03-05T15:22:40.885000+00:00,17
1141,7953,22,27,2023-03-05T15:22:40.885000+00:00,16
1141,7953,10,21,2023-03-05T15:22:43.682000+00:00,18
1141,7953,10,27,2023-03-05T15:22:43.682000+00:00,17
1141,7953,21,27,2023-03-05T15:22:47.323000+00:00,18
1141,7953,4,27,2023-03-05T15:22:50.370000+00:00,19
1141,7953,4,21,2023-03-05T15:22:50.370000+00:00,18
1141,7953,63,44,2023-03-05T15:23:41.884000+00:00,5
1141,7953,14,44,2023-03-05T15:23:42.384000+00:00,6
1141,7953,18,44,2023-03-05T15:23:48.384000+00:00,7
1141,7953,81,2,2023-03-05T15:24:04.243000+00:00,10
1141,7953,81,31,2023-03-05T15:24:04.243000+00:00,9
1141,7953,81,44,2023-03-05T15:24:04.243000+00:00,8
1141,7953,14,63,2023-03-05T15:24:05.509000+00:00,5
1141,7953,20,24,2023-03-05T15:24:08.884000+00:00,12
1141,7953,20,2,2023-03-05T15:24:08.884000+00:00,11
1141,7953,20,31,2023-03-05T15:24:08.884000+00:00,10
1141,7953,77,24,2023-03-05T15:24:12.946000+00:00,13
1141,7953,77,2,2023-03-05T15:24:12.946000+00:00,12
1141,7953,77,31,2023-03-05T15:24:12.946000+00:00,11
1141,7953,63,14,2023-03-05T15:24:13.696000+00:00,5
1141,7953,14,63,2023-03-05T15:24:18.040000+00:00,5
1141,7953,23,24,2023-03-05T15:24:18.712000+00:00,14
